ACTIVITY DATE/TIME,CALORIES,STEPS,DISTANCE,FLOORS
2017-07-08 16:27:00,4.45830011367798,63,0.046399999409914,0
2017-07-08 16:28:00,5.73210000991821,97,0.0715000033378601,0
2017-07-08 16:29:00,6.15670013427734,95,0.0701000019907951,0
2017-07-08 16:30:00,6.36899995803833,103,0.0759999975562096,0
2017-07-08 16:31:00,6.15670013427734,85,0.0627000033855438,0
2017-07-08 16:32:00,6.36899995803833,107,0.0789000019431114,0
2017-07-08 16:33:00,6.36899995803833,122,0.0900000035762787,0
2017-07-08 16:34:00,7.53665018081665,131,0.0966000035405159,0
2017-07-08 16:35:00,7.00589990615845,121,0.162799999117851,0
2017-07-08 16:36:00,6.58129978179932,114,0.0841000005602837,0
2017-07-08 16:37:00,6.36899995803833,119,0.0878000035881996,0
2017-07-08 16:38:00,6.36899995803833,115,0.0847999975085258,0
2017-07-08 16:39:00,5.51980018615723,118,0.0869999974966049,0
2017-07-08 16:40:00,5.30749988555908,113,0.0833000019192696,0
2017-07-08 16:41:00,5.51980018615723,83,0.0612000003457069,0
2017-07-08 16:42:00,5.30749988555908,101,0.0745000019669533,0
2017-07-08 16:43:00,4.24599981307983,48,0.0353999994695187,0
2017-07-08 16:44:00,5.0952000617981,91,0.067100003361702,0
2017-07-08 16:45:00,5.9443998336792,109,0.0803999975323677,0
2017-07-08 16:46:00,5.73210000991821,119,0.0878000035881996,0
2017-07-08 16:47:00,5.51980018615723,120,0.0885000005364418,0
2017-07-08 16:48:00,6.79360008239746,119,0.0878000035881996,0
2017-07-08 16:49:00,6.58129978179932,111,0.0819000005722046,0
2017-07-08 16:50:00,7.85510015487671,121,0.089199997484684,1
2017-07-08 16:51:00,6.36899995803833,112,0.0825999975204468,0
2017-07-08 16:52:00,4.67059993743896,55,0.0405000001192093,0
2017-07-08 16:53:00,6.79360008239746,114,0.0841000005602837,0
2017-07-08 16:54:00,5.73210000991821,73,0.0538000017404556,0
2017-07-08 16:55:00,7.00589990615845,124,0.091499999165535,0
2017-07-08 16:56:00,6.15670013427734,95,0.0701000019907951,0
2017-07-08 16:57:00,6.79360008239746,105,0.0773999989032745,0
2017-07-08 16:58:00,6.36899995803833,89,0.0656000003218651,1
