HEART RATE DATE/TIME,VALUE
2017-07-08 12:26:03,113
2017-07-08 12:26:18,114
2017-07-08 12:26:23,118
2017-07-08 12:26:33,115
2017-07-08 12:26:48,115
2017-07-08 12:26:53,114
2017-07-08 12:26:58,113
2017-07-08 12:27:08,112
2017-07-08 12:27:13,111
2017-07-08 12:27:18,112
2017-07-08 12:27:23,111
2017-07-08 12:27:28,108
2017-07-08 12:27:38,107
2017-07-08 12:27:48,105
2017-07-08 12:27:58,103
2017-07-08 12:28:08,108
2017-07-08 12:28:13,111
2017-07-08 12:28:23,112
2017-07-08 12:28:38,109
2017-07-08 12:28:53,109
2017-07-08 12:28:58,106
2017-07-08 12:29:03,104
2017-07-08 12:29:08,100
2017-07-08 12:29:16,107
2017-07-08 12:29:21,114
2017-07-08 12:29:26,115
2017-07-08 12:29:31,116
2017-07-08 12:29:36,120
2017-07-08 12:29:51,120
2017-07-08 12:29:56,119
2017-07-08 12:30:11,121
2017-07-08 12:30:16,122
2017-07-08 12:30:21,121
2017-07-08 12:30:36,121
2017-07-08 12:30:41,120
2017-07-08 12:30:46,120
2017-07-08 12:30:51,119
2017-07-08 12:30:56,112
2017-07-08 12:31:01,109
2017-07-08 12:31:06,108
2017-07-08 12:31:21,109
2017-07-08 12:31:26,116
2017-07-08 12:31:31,117
2017-07-08 12:31:36,119
2017-07-08 12:31:46,120
2017-07-08 12:31:51,121
2017-07-08 12:31:56,117
2017-07-08 12:32:01,119
2017-07-08 12:32:16,117
2017-07-08 12:32:26,115
2017-07-08 12:32:32,115
2017-07-08 12:32:42,116
2017-07-08 12:32:52,115
2017-07-08 12:32:57,114
2017-07-08 12:33:07,113
2017-07-08 12:33:22,110
2017-07-08 12:33:27,105
2017-07-08 12:33:37,120
2017-07-08 12:33:42,119
2017-07-08 12:33:52,117
2017-07-08 12:33:57,118
2017-07-08 12:34:02,117
2017-07-08 12:34:07,117
2017-07-08 12:34:12,117
2017-07-08 12:34:17,117
2017-07-08 12:34:22,114
2017-07-08 12:34:27,111
2017-07-08 12:34:32,112
2017-07-08 12:34:37,111
2017-07-08 12:34:42,114
2017-07-08 12:34:47,117
2017-07-08 12:35:02,120
2017-07-08 12:35:07,121
2017-07-08 12:35:22,120
2017-07-08 12:35:27,121
2017-07-08 12:35:34,121
2017-07-08 12:35:44,121
2017-07-08 12:35:54,121
2017-07-08 12:35:59,119
2017-07-08 12:36:04,118
2017-07-08 12:36:14,117
2017-07-08 12:36:19,118
2017-07-08 12:36:24,119
2017-07-08 12:36:29,120
2017-07-08 12:36:39,121
2017-07-08 12:36:44,120
2017-07-08 12:36:49,115
2017-07-08 12:36:59,110
2017-07-08 12:37:04,111
2017-07-08 12:37:14,115
2017-07-08 12:37:19,117
2017-07-08 12:37:24,116
2017-07-08 12:37:39,115
2017-07-08 12:37:49,118
2017-07-08 12:37:54,120
2017-07-08 12:37:59,119
2017-07-08 12:38:14,119
2017-07-08 12:38:19,117
2017-07-08 12:38:34,117
2017-07-08 12:38:39,119
2017-07-08 12:38:49,118
2017-07-08 12:38:54,119
2017-07-08 12:39:01,114
2017-07-08 12:39:06,115
2017-07-08 12:39:16,113
2017-07-08 12:39:21,112
2017-07-08 12:39:26,111
2017-07-08 12:39:36,106
2017-07-08 12:39:41,104
2017-07-08 12:39:46,100
2017-07-08 12:39:51,102
2017-07-08 12:39:56,104
2017-07-08 12:40:01,101
2017-07-08 12:40:06,98
2017-07-08 12:40:11,95
2017-07-08 12:40:16,99
2017-07-08 12:40:21,100
2017-07-08 12:40:26,101
2017-07-08 12:40:31,104
2017-07-08 12:40:36,107
2017-07-08 12:40:41,105
2017-07-08 12:40:46,104
2017-07-08 12:40:51,100
2017-07-08 12:40:56,97
2017-07-08 12:41:01,98
2017-07-08 12:41:06,102
2017-07-08 12:41:11,100
2017-07-08 12:41:16,101
2017-07-08 12:41:31,102
2017-07-08 12:41:32,102
2017-07-08 12:41:37,98
2017-07-08 12:41:42,96
2017-07-08 12:41:47,96
2017-07-08 12:41:57,98
2017-07-08 12:42:02,99
2017-07-08 12:42:12,102
2017-07-08 12:42:22,102
2017-07-08 12:42:27,102
2017-07-08 12:42:32,104
2017-07-08 12:42:37,105
